state_fips,state_abbr,state,year,aqi_median,aqi_days
54,WV,West Virginia,2011,43.333333333333336,257.6666666666667
55,WI,Wisconsin,2011,39.3,240.6
56,WY,Wyoming,2011,35.166666666666664,294.94444444444446
01,AL,Alabama,2012,44.05882352941177,263.5882352941176
02,AK,Alaska,2012,25.25,301.25
04,AZ,Arizona,2012,47.15384615384615,336.38461538461536
05,AR,Arkansas,2012,48.0,207.07142857142858
06,CA,California,2012,52.25925925925926,349.72222222222223
08,CO,Colorado,2012,41.096774193548384,292.19354838709677
09,CT,Connecticut,2012,46.625,314.875
00,NA,Country Of Mexico,2012,37.5,366.0
10,DE,Delaware,2012,46.666666666666664,358.0
11,DC,District Of Columbia,2012,61.0,366.0
12,FL,Florida,2012,41.526315789473685,352.9736842105263
13,GA,Georgia,2012,49.125,293.71875
15,HI,Hawaii,2012,43.75,361.5
16,ID,Idaho,2012,29.928571428571427,341.85714285714283
17,IL,Illinois,2012,43.0,331.8695652173913
18,IN,Indiana,2012,49.5,252.47222222222223
19,IA,Iowa,2012,48.421052631578945,280.7368421052632
20,KS,Kansas,2012,36.69230769230769,296.0769230769231
21,KY,Kentucky,2012,45.172413793103445,295.51724137931035
22,LA,Louisiana,2012,45.95454545454545,339.04545454545456
23,ME,Maine,2012,35.63636363636363,299.1818181818182
24,MD,Maryland,2012,49.0,313.3333333333333
25,MA,Massachusetts,2012,43.083333333333336,324.1666666666667
26,MI,Michigan,2012,42.607142857142854,247.64285714285714
27,MN,Minnesota,2012,38.19047619047619,295.1904761904762
28,MS,Mississippi,2012,47.36363636363637,312.27272727272725
29,MO,Missouri,2012,49.0,287.76190476190476
30,MT,Montana,2012,33.1578947368421,278.57894736842104
31,NE,Nebraska,2012,37.90909090909091,221.45454545454547
32,NV,Nevada,2012,36.7,258.0
33,NH,New Hampshire,2012,40.714285714285715,325.85714285714283
34,NJ,New Jersey,2012,44.5625,337.3125
35,NM,New Mexico,2012,35.333333333333336,272.3888888888889
36,NY,New York,2012,39.42424242424242,345.93939393939394
37,NC,North Carolina,2012,45.4,284.7111111111111
38,ND,North Dakota,2012,39.625,364.125
39,OH,Ohio,2012,48.60526315789474,302.89473684210526
40,OK,Oklahoma,2012,46.18181818181818,322.72727272727275
41,OR,Oregon,2012,33.75,344.5833333333333
42,PA,Pennsylvania,2012,48.54054054054054,356.5405405405405
00,NA,Puerto Rico,2012,23.333333333333332,236.75
44,RI,Rhode Island,2012,43.0,342.6666666666667
45,SC,South Carolina,2012,43.68421052631579,269.42105263157896
46,SD,South Dakota,2012,42.888888888888886,337.77777777777777
47,TN,Tennessee,2012,42.30434782608695,272.04347826086956
48,TX,Texas,2012,45.372093023255815,342.3720930232558
49,UT,Utah,2012,46.333333333333336,337.6666666666667
50,VT,Vermont,2012,35.25,302.75
00,NA,Virgin Islands,2012,23.0,77.5
51,VA,Virginia,2012,35.36842105263158,253.18421052631578
53,WA,Washington,2012,33.172413793103445,358.86206896551727
54,WV,West Virginia,2012,44.13333333333333,265.6666666666667
55,WI,Wisconsin,2012,39.70967741935484,252.96774193548387
56,WY,Wyoming,2012,37.526315789473685,293.05263157894734
01,AL,Alabama,2013,41.27777777777778,260.6666666666667
02,AK,Alaska,2013,24.75,284.25
04,AZ,Arizona,2013,45.07692307692308,346.61538461538464
05,AR,Arkansas,2013,44.09090909090909,247.0909090909091
06,CA,California,2013,53.48148148148148,346.2037037037037
08,CO,Colorado,2013,40.36666666666667,304.43333333333334
09,CT,Connecticut,2013,47.875,315.0
00,NA,Country Of Mexico,2013,31.5,364.0
10,DE,Delaware,2013,47.0,362.3333333333333
11,DC,District Of Columbia,2013,55.0,365.0
12,FL,Florida,2013,39.63157894736842,351.39473684210526
13,GA,Georgia,2013,45.09375,297.21875
15,HI,Hawaii,2013,38.5,364.25
16,ID,Idaho,2013,30.46153846153846,277.0769230769231
17,IL,Illinois,2013,40.869565217391305,320.04347826086956
18,IN,Indiana,2013,46.916666666666664,261.4166666666667
19,IA,Iowa,2013,46.78947368421053,279.42105263157896
20,KS,Kansas,2013,33.92307692307692,277.61538461538464
21,KY,Kentucky,2013,41.44827586206897,297.2758620689655
22,LA,Louisiana,2013,43.40909090909091,340.6818181818182
23,ME,Maine,2013,36.18181818181818,306.6363636363636
24,MD,Maryland,2013,45.4,312.53333333333336
25,MA,Massachusetts,2013,42.666666666666664,341.25
26,MI,Michigan,2013,40.17857142857143,247.46428571428572
