state_fips,state_abbr,state,year,aqi_median,aqi_days,unnamed:_0,o3_mean,o3_1st_max_value,o3_1st_max_hour,o3_aqi,co_mean,co_1st_max_value,co_1st_max_hour,co_aqi,so2_mean,so2_1st_max_value,so2_1st_max_hour,so2_aqi,no2_mean,no2_1st_max_value,no2_1st_max_hour,no2_aqi,cardio_rate,resp_rate
41,OR,Oregon,2011,31.72,328.36,296791.5,0.019976450310559002,0.027052795031055902,11.397515527950311,25.055900621118013,0.3373749316770186,0.5167701863354037,5.6397515527950315,5.8105590062111805,0.7565045590062112,1.9173913043478261,10.267080745341614,1.9223602484472049,9.132214090062112,17.51894409937888,12.444099378881987,16.17391304347826,44.554848484848485,
41,OR,Oregon,2012,33.75,344.5833333333333,327824.5,0.022675601851851853,0.031040123456790126,11.561728395061728,29.0,0.29656927160493823,0.4592592592592593,6.484567901234568,5.1265432098765435,0.640916962962963,1.4466049382716049,11.012345679012345,1.2160493827160495,9.06379174691358,18.030864197530864,12.450617283950617,16.564814814814813,44.70993939393939,
41,OR,Oregon,2013,39.458333333333336,345.3333333333333,360698.5,0.019081108433734936,0.02685843373493976,10.99698795180723,24.897590361445783,0.2913185813253012,0.4496987951807229,6.72289156626506,5.033132530120482,1.0882155391566264,1.9858433734939758,10.978915662650602,1.9819277108433735,9.72325606626506,17.60542168674699,12.349397590361447,16.174698795180724,44.872757575757575,
41,OR,Oregon,2014,34.08695652173913,345.5217391304348,395228.5,0.022468062874251495,0.030479041916167664,11.733532934131736,28.398203592814372,0.24361198203592813,0.35508982035928144,5.970059880239521,3.9011976047904193,0.853768377245509,1.4862275449101796,11.122754491017965,1.2634730538922156,8.544142850299401,17.038922155688624,12.344311377245509,15.682634730538922,45.07259090909091,
41,OR,Oregon,2015,35.391304347826086,345.95652173913044,427498.0,0.021532147945205478,0.02995616438356164,11.219178082191782,27.86849315068493,0.27565352328767123,0.42712328767123287,6.715068493150685,4.761643835616439,0.4763379232876712,1.1821917808219178,10.997260273972604,0.9424657534246575,9.187567528767124,18.231232876712326,11.38082191780822,16.75068493150685,45.30731818181818,
41,OR,Oregon,2016,30.0,343.45454545454544,459223.5,0.02302791554054054,0.031077702702702704,11.300675675675675,29.04054054054054,0.2472192331081081,0.34628378378378377,5.628378378378378,3.7905405405405403,0.196274375,0.6199324324324325,9.469594594594595,0.27364864864864863,8.273714929054055,17.180743243243242,11.513513513513514,15.77027027027027,45.547030303030304,
41,OR,Oregon,2017,35.08695652173913,343.60869565217394,490259.0,0.020284190184049075,0.029012269938650307,11.94478527607362,28.29447852760736,0.20629715950920247,0.3515337423312883,7.049079754601227,3.895705521472393,0.5376557852760736,1.0595092024539876,10.815950920245399,0.7116564417177914,9.023753521472393,17.019018404907975,12.05521472392638,15.644171779141104,45.73613636363636,
41,OR,Oregon,2018,36.56521739130435,342.5217391304348,520651.0,0.023402028985507244,0.032481159420289854,11.591304347826087,30.895652173913042,0.2596713710144928,0.37130434782608696,5.707246376811594,4.136231884057971,0.46627917101449273,0.8971014492753623,10.101449275362318,0.4927536231884058,8.672955608695652,17.560289855072465,11.736231884057972,16.144927536231883,45.955333333333336,
41,OR,Oregon,2019,33.083333333333336,345.5,550515.5,0.022219225903614456,0.029954819277108434,11.352409638554217,27.954819277108435,0.17039159337349397,0.27740963855421685,6.0120481927710845,3.033132530120482,0.21631566867469879,0.5509036144578313,9.493975903614459,0.18674698795180722,7.629372219879517,15.098493975903613,11.728915662650602,13.981927710843374,46.20407575757576,
41,OR,Oregon,2020,33.69565217391305,360.8695652173913,582401.0,0.02312407536231884,0.030759420289855073,11.295652173913043,28.81159420289855,0.16717432173913044,0.30289855072463767,6.388405797101449,3.336231884057971,0.21668182898550722,0.5423188405797101,8.773913043478261,0.23478260869565218,6.235602124637682,13.542028985507246,11.379710144927536,12.376811594202898,28.359597826086954,
